Source Player,Source Short form,Innovation Phase,source,Source Intervension,source filter,Target Player,Target innovation Phase,Target filter,Target short form,target,Target intervention
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingStandard Setting,I,I-Standard Setting,Standard Setting
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsForums to define problems and approach,A,A-Forums to define problems and approach,Forums to define problems and approach
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Industry Associations and Alliances,M,Industry Associations and AlliancesForums to define problems and approach,OAssoc,OAssoc-Forums to define problems and approach,Forums to define problems and approach
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
